,distortion
0,49.2906605269969
1,53.0863370185418
2,49.5701437884948
3,50.3969749020957
4,51.7238226758624
5,51.9276836775385
6,53.7057965945039
7,52.5269788600105
8,50.7569491710203
9,49.6826611393104
10,47.8382046493235
11,51.8566598889947
12,47.8248588179009
13,51.8500708249335
14,52.318835581308
15,52.0198229930613
16,49.1164554162336
17,48.282496110848
18,51.6620748416259
19,47.0970268936313
20,51.1320132092582
21,52.5921361105306
22,50.7353080247649
23,51.6350247743845
24,48.2192173237991
25,51.6413131353787
26,55.1382039774429
27,47.3737878876515
28,51.7915597856937
29,47.7975201376101
30,51.1209525013407
31,49.1097087279979
32,50.0701661151658
33,51.5868026720716
34,53.7268646887996
35,49.151602604438
36,51.2759106587802
37,51.4804438673068
38,50.232949630822
39,48.4036440003218
40,51.8144099930944
41,49.7553081077798
42,50.699991532075
43,48.5570737691702
44,47.4695616435101
45,51.0547270673058
46,48.6226615793089
47,48.0870190531329
48,48.0272913833018
49,50.2571168543548
50,49.7576989028298
51,50.5714655094872
52,50.9222625026152
53,51.1411074382908
54,48.6242173872159
55,49.8733327068821
56,50.4591724353453
57,49.4580611488949
58,50.2008208189396
59,51.9179880997117
60,50.8817264276171
61,53.1225490017146
62,45.4222754178094
63,47.7391631561974
64,47.5447549424248
65,50.2187490400417
66,49.250573290239
67,49.0156161197688
68,48.7101428131982
69,47.8366633295299
70,49.7933735652321
71,51.759806523768
72,50.2410178577843
73,45.1625126848522
74,46.9649637314765
75,49.4358333991768
76,50.7701933595343
77,49.1855615579128
78,53.4819054159686
79,50.7217487250621
80,50.7567002934171
81,49.5027035256844
82,48.4365802548901
83,50.5985211391023
84,48.5746402689383
85,49.8770299102935
86,48.8009089665851
87,47.3672876870064
88,51.4216780758529
89,48.5860346654957
90,49.0988280765075
91,50.4568923987132
92,52.6728449735179
93,50.5707815618652
94,47.560985283587
95,48.3532611293649
96,52.9074805100204
97,48.5939986711711
98,50.0677538411074
99,52.3002811986751
100,51.0303558122403
101,49.9553979230553
102,49.3923064524387
103,51.6271398558688
104,50.6181501717605
105,50.2518396905631
106,49.0053268721816
107,43.8893564581648
108,48.5752186704574
109,50.9783468830018
110,53.5008724815205
111,48.9899321261499
112,50.8944058440042
113,49.976727284844
114,53.8109011974037
115,50.6485236740739
116,54.0465218576142
117,51.7917533108467
118,49.177231300973
119,52.3888352679044
120,50.5329016441149
121,47.5114033345255
122,52.2294242061376
123,50.5085274348671
124,51.4554088409574
125,51.3085256928172
126,51.2210669110637
127,46.922922942368
128,49.1381045995323
129,47.7538619467647
130,53.7822286514477
131,47.5518431415768
132,48.3910864686313
133,49.211650255341
134,50.3385339488936
135,50.3189615398223
136,52.1751014100494
137,51.313279053923
138,51.2704334478518
139,48.35939595014
140,48.9661333887289
141,49.8524767801977
142,49.718371517318
143,53.704209408136
144,46.9546167268926
145,53.2265026421454
146,50.1432980417019
147,51.3132068036303
148,51.7971612501611
149,49.2857373619259
150,49.3378363430687
151,50.5381901510514
152,50.7000004131483
153,48.0581321870427
154,47.0138334216151
155,49.8565660142094
156,51.9764856308001
157,50.3796043073512
158,50.5615193197129
159,48.4078148982796
160,53.1308782740077
161,49.7286966650514
162,48.5704164112568
163,49.8774313368525
164,51.0430326411052
165,51.5338442438456
166,51.4272520584476
167,48.9528019572514
168,48.7251667616468
169,47.883907629138
170,47.6661518495812
171,49.0135375047498
172,48.4500760810467
173,48.1257517196982
174,49.6017607224085
175,53.6945523227477
176,50.8593159107792
177,48.8550209338492
178,51.9235073140512
179,49.437405089251
180,49.5538618926259
181,51.3702972548181
182,51.7952909987267
183,49.8608534271865
184,52.9848100777475
185,48.9848325696755
186,46.6665857958869
187,54.4892264619272
188,47.8249238331576
189,49.7740108739391
190,51.1317745356686
191,52.2826624431382
192,47.9450056842645
193,55.38938811601
194,49.9896071393235
195,52.7530590323697
196,48.1756424264337
197,46.395427877772
198,49.1789280658038
199,47.7771137207797
200,50.3317922761592
201,52.5887087835324
202,52.7512822892015
203,51.8265856740324
204,49.0957672900952
205,47.3247148733786
206,52.1444734005784
207,46.859969637415
208,46.4869807438364
209,50.9308007726053
210,46.7213328948623
211,52.7708640835483
212,50.4272347204734
213,48.932371385172
214,49.8800976312393
215,51.8489551251367
216,49.0893891617155
217,49.033959664544
218,51.8681636377667
219,53.8841172941173
220,50.7721915058338
221,48.4772297560548
222,50.4568573570922
223,54.2506414207318
224,47.7908641804701
225,49.541887974871
226,50.9515003746359
227,47.199522701076
228,45.2307768253073
229,45.5148817906421
230,49.7032669245533
231,45.4908393634461
232,49.6902304290291
233,53.043592426993
234,47.5268863656917
235,46.9330954934338
236,47.3266290213526
237,50.472663105042
238,49.5473711815021
239,48.6008188921221
240,52.3508239145356
241,51.6441608462336
242,50.3136294844234
243,48.2923983579735
244,52.6069085191243
245,50.7254443161669
246,48.3713018995301
247,49.9204822877684
248,52.0037218188266
249,49.3861946700742
250,47.8343243246119
251,50.671594295288
252,52.2836885375161
253,53.4184190046032
254,47.8637873768426
255,46.1788764522607
256,49.6928204551176
257,51.8360375442767
258,49.1383144570373
259,51.7957153888495
260,49.4137983076571
261,52.0047118667474
262,47.5179510434669
263,53.8657801120835
264,53.9119527829533
