id,width,height,ionizationclass,FluxCompensation,pressure,karma,modulation,weight_in_kg,weight_in_g,error,error_type,Quality,reflectionScore,distortion,nicesness,multideminsionality
1,97.4191689429334,141.631089481838,C,IV,103.937206964033,976.538992554311,98.3094375023476,1344159.99215447,1344159992.15447,yes,critical,95.6097187441877,689.446382861542,49.2906605269969,100.287207543487,yes
2,58.7060365720782,128.097653564761,A,II,101.177876896332,1031.8068263046,102.748067906475,442486.159413698,442486159.413698,no,None,98.1343134303606,671.337147005642,53.0863370185418,57.6040827302953,no
3,77.2625682267468,127.105441992558,A,III,99.3819560672096,840.24666821469,99.4513538461117,759766.293395748,759766293.395748,no,None,99.0669019016173,680.339018614345,49.5701437884948,76.6423049171955,no
4,82.6572520992208,126.011542169319,A,I,101.833663779454,964.391122452487,101.022948124063,861948.355519779,861948355.519779,no,None,96.9102450570732,680.415055928183,50.3969749020957,83.0881777880309,no
5,78.08536646282,137.092425635823,C,I,95.2463042652018,859.331870406817,97.6985028830994,835907.721028822,835907721.028822,yes,severe,94.3264858829566,713.309868615876,51.7238226758624,76.4194073415323,no
6,67.8775096781703,113.773527266784,B,I,106.082178979772,1011.50462649933,104.460272260722,524204.107682591,524204107.682591,yes,minor,92.6760054008513,661.461840049679,51.9276836775385,68.2650376103862,yes
7,100.230439948779,137.717844545979,A,III,98.4984258440514,1007.29146208589,98.2407244520132,1384542.97253712,1384542972.53712,no,None,97.5962010487092,738.023389954648,53.7057965945039,99.6554951500424,yes
8,68.1068192317381,117.120258117339,A,III,101.731097971828,906.123497524092,92.1887615692573,544276.296933733,544276296.933733,no,None,95.6177841856231,690.935446821363,52.5269788600105,66.1310429918823,no
9,110.368474277541,138.915758809994,B,II,104.159571881251,999.234359064464,96.7936832526188,1692170.66357064,1692170663.57064,yes,severe,93.8160699818541,684.594968243455,50.7569491710203,114.133915943802,yes
10,68.7457180189516,128.221665684541,B,III,98.7646291613065,1177.18896974809,104.664262368047,605980.406492594,605980406.492594,yes,critical,97.758242293935,688.476362597728,49.6826611393104,68.1714166643155,no
11,96.0973930844697,147.044046835843,B,III,101.99470255797,1050.03612026714,97.3769916008637,1357918.2597479,1357918259.7479,yes,minor,96.6071297709442,644.905652008292,47.8382046493235,98.8017047608242,no
12,115.732907854022,117.134938853775,C,II,98.8816981620711,1037.42771366374,99.3056594294127,1568927.53182839,1568927531.82839,yes,severe,97.8051773342535,725.677256013655,51.8566598889947,114.867445991826,yes
13,42.2227859777532,125.044384314861,C,I,103.371748268617,1168.67416759308,100.720877893645,222934.897062527,222934897.062527,yes,critical,96.0286456263065,719.914049031133,47.8248588179009,41.4821038218429,yes
14,64.4242246636526,132.152754405007,A,IV,98.8331791239538,1004.10140553055,100.495036945094,549507.911550305,549507911.550305,no,None,98.6651369858349,680.751910313134,51.8500708249335,62.5059473622231,no
